aika	acc_x	acc_y	acc_z	gyro_x gyro_y gyro_z
0.00	100.00 -0.33 0.07	-0.84	-6.13	  13.05	
1.00	0.12	-0.02	-0.96	6.02	-6.01	 11.79	
2.00	0.10	-0.05	-0.93	-15.37 -24.59 55.18	
3.00	0.02	0.04	-1.00	0.43	-14.38 30.25	
4.00	0.08	-0.03	-1.02	3.88	2.12	63.11	
5.00	0.21	0.20	-1.03	-19.21 12.60 101.88	
6.00	0.06	0.14	-1.03	-0.97	5.10	36.12	
7.00	0.10	-0.01	-1.00	0.50	-0.52	8.38	
8.00	0.08	0.00	-1.02	3.94	-1.91	15.14	
9.00	0.06	-0.06	-0.98	47.88	-0.76	47.29	
10.00	0.03	-0.03	-0.99	30.26	-0.62	-8.14	
11.00	0.08	-0.23	-0.97	6.40	3.21	14.17	
12.00	0.07	-0.12	-0.98	-4.03	3.13	2.91	
13.00	0.07	-0.08	-0.96	-10.01 -3.55 -4.51	
14.00	0.06	-0.13	-0.98	-4.96	-3.55	6.39	
15.00	0.08	-0.13	-0.97	0.67	-1.25	0.39	
16.00	0.06	-0.10	-1.00	2.91	-3.17	-0.59	
17.00	0.07	-0.14	-0.99	1.72	-10.99 0.40	
18.00	0.08	-0.15	-0.99	0.19	3.67	9.43	
19.00	0.07	-0.08	-1.02	1.03	-10.36 7.19	
20.00	0.12	-0.08	-1.09	-21.06 37.10 0.23	
21.00	0.14	-0.07	-1.24	-1.26	16.06	6.38	
22.00	0.14	-0.11	-1.27	-1.36	20.61	-3.85	
23.00	0.24	-0.09	-1.03	19.14	22.03	-11.24	
24.00	0.25	-0.15	-0.79	42.18	55.84	-21.63	
25.00	0.37	-0.15	-0.91	33.13	-37.13 -6.48	
26.00	0.36	-0.31	-1.00	25.63	22.44	0.05	
27.00	0.26	-0.25	-0.97	5.57	-6.35	9.36	
28.00	0.28	-0.29	-0.89	-18.91 -22.61 10.52	
29.00	0.14	-0.27	-0.88	-27.95 -22.22 15.05	
30.00	0.13	-0.24	-0.81	-23.98 -2.22 20.73	
31.00	0.02	-0.11	-0.84	-14.58 15.40 11.34	
32.00	0.03	-0.13	-0.80	-19.13 -6.08 3.62	
33.00	0.10	-0.15	-0.92	-5.50	-3.20	18.95	
34.00	0.02	-0.09	-0.88	-4.30	-5.28	3.92	
35.00	0.08	-0.06	-0.88	3.22	5.06	-7.42	
36.00	0.11	-0.10	-0.97	3.78	-6.77	8.13	
37.00	0.10	0.00	-0.74	9.80	-10.94 -22.74	
38.00	-0.03	-0.14	-0.47	32.91	-27.5 -7.87	
39.00	0.12	-0.21	-0.88	58.85	-7.50	-22.38	
40.00	0.13	-0.28	-1.01	14.78	-2.34	-44.83	
41.00	0.19	-0.29	-1.03	-29.32 -4.51 -19.20	
42.00	0.24	-0.24	-1.01	-16.98 -28.53 32.09	
43.00	0.09	-0.17	-1.14	-56.72 17.71 17.20	
44.00	0.24	-0.05	-1.11	-19.04 -5.70 29.28	
45.00	0.01	0.01	-1.27	-16.04 -9.83 33.39	
46.00	-0.07	-0.05	-1.01	-20.55 12.67 8.00	
47.00	0.06	0.01	-1.14	3.37	-30.51 -4.39	
48.00	0.06	0.00	-0.89	-30.85 19.20 -10.69	
49.00	0.06	0.01	-1.02	-28.43 -16.89 1.22	
50.00	0.06	0.04	-1.02	21.42	-1.97	-4.30	
51.00	0.08	-0.03	-1.01	6.12	-1.31	1.92	
52.00	0.10	0.01	-1.00	0.06	-0.15	-0.40	
53.00	0.07	0.01	-1.01	-0.27	-0.50	-0.95	
54.00	0.12	0.03	-0.99	0.62	-0.40	-0.29	
55.00	0.09	0.03	-1.00	-0.22	-0.13	1.61	
