aika	acc_x	acc_y	acc_z	gyro_x gyro_y gyro_z
0.00	100.00 0.01	 0.03	-1.00	0.00	 0.32	
1.00	0.00	-0.05	-0.98	-0.05	-0.24	-0.38	
2.00	-0.01	-0.02	-0.99	-0.17	-0.23	-0.48	
3.00	0.00	0.01	-1.01	-0.24	-0.76	-0.05	
4.00	-0.01	-0.02	-1.00	-0.09	-0.14	0.54	
5.00	-0.04	-0.01	-0.98	-0.27	0.76	-0.68	
6.00	-0.01	-0.02	-1.00	-0.34	-0.68	0.46	
7.00	-0.00	-0.01	-1.01	-0.21	-0.49	0.68	
8.00	-0.03	-0.02	-0.99	0.23	0.34	-0.47	
9.00	-0.03	-0.02	-0.99	0.06	0.24	0.05	
10.00	-0.01	-0.02	-1.00	-0.18	-0.43	0.63	
11.00	-0.00	0.01	-1.00	0.02	0.14	-0.10	
12.00	-0.01	-0.00	-1.00	0.22	0.32	0.09	
13.00	-0.01	-0.00	-1.01	-0.38	0.00	0.18	
14.00	-0.00	-0.02	-0.99	0.37	0.72	-0.13	
15.00	0.00	-0.03	-0.99	0.08	0.15	0.38	
16.00	-0.01	-0.00	-0.99	0.63	-0.27	0.34	
17.00	-0.01	-0.03	-1.00	-0.24	-0.01	0.43	
18.00	0.00	0.01	-1.00	0.21	0.50	-0.58	
19.00	-0.02	-0.01	-1.00	0.01	-0.53	-0.23	
20.00	-0.00	-0.02	-1.00	0.11	-0.12	-0.42	
21.00	-0.01	-0.00	-1.01	-0.13	0.00	-0.02	
22.00	-0.01	-0.02	-0.99	-0.01	-0.27	0.03	
23.00	-0.02	-0.01	-0.99	-0.42	-0.66	-0.66	
24.00	-0.00	0.02	-1.00	-0.02	0.05	-0.30	
25.00	0.02	0.01	-1.00	0.12	0.27	0.22	
26.00	0.01	0.01	-1.00	-0.10	-0.27	0.31	
27.00	-0.01	-0.00	-1.00	-0.18	-0.12	0.26	
28.00	-0.01	-0.03	-0.99	-0.71	-0.04	0.01	
29.00	-0.01	-0.02	-1.00	0.15	-0.08	-0.12	
30.00	-0.00	-0.02	-1.00	-0.23	-0.19	0.00	
31.00	-0.01	-0.00	-1.00	0.28	-0.50	-0.08	
32.00	0.00	-0.03	-1.00	-0.04	-0.51	0.19	
33.00	-0.04	0.03	-1.00	0.11	0.05	0.44	
34.00	0.00	0.03	-1.00	-0.21	0.21	0.52	
35.00	-0.00	0.02	-1.00	0.32	-0.08	0.33	
36.00	0.00	-0.02	-0.99	0.17	0.08	-0.18	
37.00	-0.01	0.01	-0.99	-0.02	0.58	0.17	
38.00	0.00	0.04	-1.00	-0.01	0.35	0.01	
39.00	-0.03	-0.03	-1.00	0.31	0.28	-0.53	
40.00	-0.02	0.01	-1.02	-0.50	-0.13	0.34	
41.00	-0.04	0.02	-0.99	0.38	-0.21	0.02	
42.00	0.00	0.00	-0.99	0.23	0.46	-0.31	
43.00	0.01	-0.01	-1.00	0.11	0.43	-0.61	
44.00	-0.02	0.01	-1.00	-0.03	-0.43	-0.11	
45.00	-0.02	-0.05	-0.99	0.45	-0.49	0.43	
46.00	-0.00	-0.02	-1.00	-0.48	0.06	-0.14	
47.00	-0.00	0.02	-0.98	-0.05	0.25	-0.03	
48.00	-0.00	0.02	-0.99	-0.13	0.04	0.02	
49.00	-0.05	0.00	-1.01	0.23	-0.10	0.07	
50.00	0.01	-0.01	-1.01	0.07	0.64	-0.09	
51.00	-0.01	-0.00	-1.01	0.43	0.41	-0.10	
52.00	-0.04	0.05	-1.00	-0.26	0.08	-0.23	
53.00	0.01	0.01	-1.00	0.11	-0.19	0.37	
54.00	-0.01	-0.03	-1.00	-0.11	0.22	-0.17	
55.00	0.00	-0.01	-1.00	0.01	0.02	-0.73	
56.00	-0.01	-0.00	-1.01	-0.39	-0.63	0.18	
57.00	-0.02	0.01	-1.00	-0.23	0.40	-0.50	
58.00	-0.01	-0.02	-1.00	-0.17	-0.72	0.27	
59.00	-0.03	-0.04	-1.00	0.02	0.43	0.19	
60.00	-0.04	-0.03	-1.01	-0.41	0.68	-0.18	
61.00	0.00	-0.02	-0.99	0.01	-0.02	-0.18	
62.00	-0.01	-0.03	-1.00	-0.01	0.02	0.29	
63.00	-0.02	-0.01	-1.00	0.08	0.21	-0.72	
64.00	-0.01	0.01	-0.99	-0.53	-0.62	0.45	
65.00	-0.02	0.02	-1.00	0.25	0.09	-0.55	
66.00	0.00	-0.04	-0.97	-0.09	-0.51	-0.25	
67.00	-0.03	-0.03	-1.01	0.03	0.02	-0.52	
68.00	-0.00	-0.01	-1.00	-0.18	0.57	-0.57	
69.00	-0.01	-0.01	-1.00	0.21	-0.11	-0.43	
70.00	-0.01	-0.01	-1.00	-0.11	-0.08	-0.15	
71.00	-0.00	-0.00	-1.01	-0.16	0.08	-0.62	
72.00	-0.02	-0.03	-1.00	0.11	-0.03	-0.01	
73.00	-0.01	-0.02	-0.98	0.72	0.12	0.24	
74.00	-0.01	0.01	-1.00	0.01	-0.41	-0.43	
75.00	-0.01	-0.02	-1.00	0.11	-0.31	0.10	
76.00	0.00	0.04	-0.99	-0.08	0.53	0.14	
77.00	-0.02	-0.03	-0.99	0.13	0.29	0.15	
78.00	-0.01	-0.02	-0.99	-0.10	0.10	0.60	
79.00	-0.01	-0.01	-1.00	-0.63	0.25	-0.11	
80.00	-0.02	-0.04	-0.99	-0.19	-0.18	-0.21	
81.00	0.00	-0.02	-1.00	0.20	-0.24	0.13	
82.00	0.01	0.01	-1.01	0.32	-0.51	0.37	
83.00	-0.01	0.01	-0.99	-0.15	-0.21	0.21	
84.00	-0.02	-0.02	-0.99	0.24	0.38	-0.11	
85.00	-0.01	0.00	-1.01	-0.14	0.56	-0.04	
86.00	0.00	-0.05	-1.00	0.30	-0.14	0.90	
87.00	-0.01	0.00	-1.00	0.35	0.31	-0.14	
88.00	-0.01	-0.02	-1.00	-0.33	-0.09	-0.35	
89.00	-0.01	-0.01	-1.00	0.22	0.66	-0.53	
90.00	0.01	0.01	-1.00	0.32	0.38	0.04	
91.00	-0.03	-0.02	-1.00	-0.04	0.18	0.36	
92.00	-0.02	-0.01	-1.00	-0.45	-0.40	0.34	
93.00	0.02	0.02	-0.99	-0.06	-0.12	0.14	
94.00	-0.03	-0.05	-0.99	-0.20	-0.57	-0.29	
95.00	0.01	-0.06	-1.01	-0.24	-0.02	-0.19	
96.00	-0.04	0.04	-1.00	0.36	0.85	-0.48	
97.00	0.00	-0.03	-0.99	-0.21	-0.37	-0.14	
98.00	-0.02	0.00	-1.02	-0.18	0.12	-0.08	
99.00	-0.03	-0.00	-1.01	0.08	-0.20	-0.11
